Date,Price,Open,High,Low,Vol.,Change %
"Jun 21, 2020",9296.40,9358.80,9411.20,9288.50,335.99K,-0.01
"Jun 20, 2020",9358.80,9314.00,9394.50,9199.80,383.44K,0.00
"Jun 19, 2020",9314.00,9390.30,9424.00,9249.60,478.49K,-0.01
"Jun 18, 2020",9388.10,9464.60,9480.40,9289.30,391.67K,-0.01
"Jun 17, 2020",9464.60,9523.60,9543.60,9258.20,446.45K,-0.01
"Jun 16, 2020",9523.50,9425.60,9577.10,9379.30,545.47K,0.01
"Jun 15, 2020",9425.40,9345.50,9489.70,8925.60,750.90K,0.01
"Jun 14, 2020",9345.30,9470.70,9474.70,9264.40,311.27K,-0.01
"Jun 13, 2020",9471.30,9466.50,9484.90,9369.90,364.97K,0.00
"Jun 12, 2020",9466.60,9283.70,9547.50,9249.40,529.28K,0.02
"Jun 11, 2020",9283.20,9878.90,9945.20,9139.10,919.30K,-0.06
"Jun 10, 2020",9878.80,9768.80,9970.90,9710.70,533.55K,0.01
"Jun 09, 2020",9768.80,9777.70,9857.20,9616.60,479.55K,0.00
"Jun 08, 2020",9777.90,9743.40,9788.20,9662.30,431.04K,0.00
"Jun 07, 2020",9742.60,9669.60,9791.80,9417.40,549.20K,0.01
"Jun 06, 2020",9669.60,9630.80,9733.10,9549.50,370.85K,0.00
"Jun 05, 2020",9631.20,9794.00,9846.10,9628.70,527.05K,-0.02
"Jun 04, 2020",9794.40,9667.20,9864.40,9490.90,593.66K,0.01
"Jun 03, 2020",9667.20,9527.00,9667.20,9421.70,558.12K,0.01
"Jun 02, 2020",9527.60,10190.70,10207.30,9347.30,1.06M,-0.06
"Jun 01, 2020",10189.30,9454.50,10301.80,9429.70,796.68K,0.08
"May 31, 2020",9454.80,9692.90,9695.60,9406.20,645.27K,-0.02
"May 30, 2020",9692.50,9424.80,9729.90,9352.70,720.62K,0.03
"May 29, 2020",9424.80,9573.40,9596.50,9358.10,814.33K,-0.02
"May 28, 2020",9572.20,9199.80,9610.80,9119.20,948.86K,0.04
"May 27, 2020",9199.10,8842.30,9210.90,8818.60,810.89K,0.04
"May 26, 2020",8842.50,8897.70,8994.60,8713.90,784.92K,-0.01
"May 25, 2020",8898.20,8728.00,8959.50,8666.10,941.89K,0.02
"May 24, 2020",8728.20,9177.90,9292.00,8724.10,1.11M,-0.05
"May 23, 2020",9177.00,9169.80,9303.20,9098.90,812.56K,0.00
"May 22, 2020",9169.70,9058.20,9253.50,8952.10,914.59K,0.01
"May 21, 2020",9059.00,9511.60,9567.10,8833.60,1.41M,-0.05
"May 20, 2020",9512.30,9773.00,9829.30,9368.40,1.15M,-0.03
"May 19, 2020",9773.30,9730.80,9883.90,9498.70,1.16M,0.00
"May 18, 2020",9730.70,9678.40,9930.20,9524.40,1.18M,0.01
"May 17, 2020",9677.70,9376.60,9866.00,9327.80,1.18M,0.03
"May 16, 2020",9379.50,9318.10,9579.00,9233.00,1.10M,0.01
"May 15, 2020",9318.00,9778.60,9819.60,9223.20,1.56M,-0.05
"May 14, 2020",9778.40,9298.70,9887.50,9265.80,1.77M,0.05
"May 13, 2020",9298.70,8813.90,9384.60,8799.10,1.50M,0.06
"May 12, 2020",8813.80,8569.80,8964.50,8542.80,1.35M,0.03
"May 11, 2020",8579.80,8737.60,9129.60,8235.60,2.29M,-0.02
"May 10, 2020",8738.80,9553.90,9569.40,8259.30,2.47M,-0.09
"May 09, 2020",9554.60,9806.00,9910.50,9533.60,1.49M,-0.03
"May 08, 2020",9806.20,9980.10,10018.20,9731.40,1.42M,-0.02
"May 07, 2020",9979.80,9152.70,10033.00,9064.80,1.91M,0.09
"May 06, 2020",9151.40,9000.60,9373.70,8923.60,1.62M,0.02
"May 05, 2020",9001.00,8874.20,9078.70,8800.40,1.05M,0.01
"May 04, 2020",8874.70,8885.50,8945.50,8553.20,1.12M,0.00
"May 03, 2020",8885.50,8966.20,9169.90,8742.20,1.15M,-0.01
"May 02, 2020",8966.30,8821.60,8986.20,8771.30,890.34K,0.02
"May 01, 2020",8821.60,8628.60,9040.30,8621.00,1.11M,0.02
"Apr 30, 2020",8629.00,8770.60,9437.50,8425.50,2.04M,-0.02
"Apr 29, 2020",8770.90,7746.70,8918.50,7729.70,1.83M,0.13
"Apr 28, 2020",7746.90,7766.00,7770.10,7655.30,808.09K,0.00
"Apr 27, 2020",7766.00,7679.40,7768.50,7637.70,980.50K,0.01
"Apr 26, 2020",7678.90,7540.40,7679.40,7520.50,921.59K,0.02
"Apr 25, 2020",7540.40,7503.90,7684.60,7451.00,861.93K,0.00
"Apr 24, 2020",7503.80,7491.30,7583.50,7423.50,951.95K,0.00
"Apr 23, 2020",7488.50,7112.80,7655.40,7036.50,1.34M,0.05
"Apr 22, 2020",7112.90,6842.50,7137.40,6821.80,914.18K,0.04
"Apr 21, 2020",6842.50,6833.40,6919.30,6774.30,892.57K,0.00
"Apr 20, 2020",6833.50,7122.90,7207.50,6771.20,1.26M,-0.04
"Apr 19, 2020",7122.90,7230.90,7238.00,7079.10,5.93M,-0.01
"Apr 18, 2020",7230.80,7035.90,7259.40,7031.50,796.45K,0.03
"Apr 17, 2020",7035.80,7085.50,7142.80,7005.80,810.10K,-0.01
"Apr 16, 2020",7085.60,6629.10,7159.70,6520.50,1.54M,0.07
"Apr 15, 2020",6629.10,6851.30,6929.50,6615.90,1.00M,-0.03
"Apr 14, 2020",6850.90,6841.80,6970.80,6768.60,999.53K,0.00
"Apr 13, 2020",6841.30,6918.10,6920.30,6618.50,1.25M,-0.01
"Apr 12, 2020",6917.60,6867.90,7158.80,6785.10,1.10M,0.01
"Apr 11, 2020",6867.80,6862.70,6931.40,6765.10,845.58K,0.00
"Apr 10, 2020",6863.10,7289.00,7294.40,6756.10,1.37M,-0.06
"Apr 09, 2020",7289.00,7361.10,7361.10,7140.30,963.55K,-0.01
"Apr 08, 2020",7361.20,7185.60,7396.10,7153.10,983.94K,0.02
"Apr 07, 2020",7185.20,7332.30,7440.30,7101.70,1.32M,-0.02
