Date,Open,High,Low,Close,Adj Close,Volume
22/08/2022,714.070007,717.02002,708.559998,711.039978,711.039978,68700
23/08/2022,706.890015,712.52002,706.890015,710.869995,710.869995,61100
24/08/2022,708.22998,714.719971,705.119995,713.809998,713.809998,56500
25/08/2022,717.719971,720.559998,713.140015,718.25,718.25,52000
26/08/2022,720.320007,722.570007,703.359985,705.080017,705.080017,65100
29/08/2022,695.969971,701.330017,692.929993,698.330017,698.330017,54400
30/08/2022,700.580017,707.690002,687.320007,690.309998,690.309998,66800
31/08/2022,695.929993,697.219971,680.309998,680.309998,680.309998,104500
01/09/2022,674.960022,674.960022,666.940002,666.940002,666.940002,67900
02/09/2022,673.190002,679.659973,668.419983,678.570007,678.570007,70300
05/09/2022,668.710022,675.450012,664.51001,674.119995,674.119995,58833300
06/09/2022,672.580017,678.820007,668.539978,675.27002,675.27002,57900
07/09/2022,667.650024,672.900024,664.869995,671.27002,671.27002,63400
08/09/2022,673.650024,675.76001,663.630005,674.400024,674.400024,68500
09/09/2022,675.960022,688.419983,675.960022,685.969971,685.969971,68600
12/09/2022,687.820007,699.210022,686.830017,696.869995,696.869995,75100
13/09/2022,698.679993,703.390015,684.22998,684.22998,684.22998,82700
14/09/2022,679.47998,684.72998,675.719971,680.859985,680.859985,73600
15/09/2022,680.450012,684.929993,672.97998,674.73999,674.73999,86800
16/09/2022,668.98999,670.109985,663.47998,664.830017,664.830017,162200
19/09/2022,661.780029,668.119995,657.039978,665.429993,665.429993,48200
20/09/2022,667.140015,672.659973,660.090027,661.609985,661.609985,75300
21/09/2022,657.789978,671.030029,657.429993,669.789978,669.789978,60400
22/09/2022,658.76001,670.409973,657.369995,657.400024,657.400024,62700
23/09/2022,654.210022,654.539978,637.359985,639.280029,639.280029,87500
26/09/2022,638.140015,647.789978,635.700012,640.409973,640.409973,77800
27/09/2022,645.570007,650.98999,642.719971,642.719971,642.719971,78200
28/09/2022,633.659973,642.179993,627.349976,641.090027,641.090027,92700
29/09/2022,639.280029,639.280029,628.830017,633.549988,633.549988,86900
30/09/2022,636.23999,642.359985,633.76001,640.619995,640.619995,85739700
03/10/2022,633.47998,646.969971,630.849976,645.799988,645.799988,70600
04/10/2022,653.150024,669.590027,653.150024,669.590027,669.590027,80900
05/10/2022,666.609985,669.76001,661.369995,664.450012,664.450012,70100
06/10/2022,667.210022,668.679993,659.099976,661.380005,661.380005,70200
07/10/2022,655.869995,660.320007,646.809998,647.109985,647.109985,68900
10/10/2022,640.419983,649.799988,640,641.210022,641.210022,57200
11/10/2022,636.599976,640.530029,631.22998,636.309998,636.309998,72800
12/10/2022,633.289978,638.179993,627.080017,631.179993,631.179993,78000
13/10/2022,627.26001,633.900024,611.73999,633.01001,633.01001,90714000
14/10/2022,640.880005,644.780029,629.719971,630.580017,630.580017,84476300
17/10/2022,631.809998,643.830017,628.179993,640.950012,640.950012,58026600
18/10/2022,645.280029,650.51001,642.299988,642.47998,642.47998,66900
19/10/2022,647.820007,649.299988,641.140015,645.390015,645.390015,60400
20/10/2022,643.669983,653.01001,641.830017,652.039978,652.039978,66600
21/10/2022,647.059998,654.950012,641.219971,652.460022,652.460022,77600
